building_id,edge_no,x_epsg5179,y_epsg5179,lat,lon,alt
BLD01000000HAIJ57,1,1163618.633999062,1732491.7047596877,35.57495581686208,129.30567300124488,161.5
BLD01000000HAIJ57,1,1163618.633999062,1732491.7047596877,35.57495581686208,129.30567300124488,170.800003
BLD01000000HAIJ57,1,1163609.7874566421,1732488.1380925444,35.57492513589834,129.30557469381336,161.5
BLD01000000HAIJ57,1,1163609.7874566421,1732488.1380925444,35.57492513589834,129.30557469381336,170.800003
BLD01000000HAIJ57,2,1163600.9409142223,1732484.571425401,35.574894454852014,129.3054763864538,161.5
BLD01000000HAIJ57,2,1163600.9409142223,1732484.571425401,35.574894454852014,129.3054763864538,170.800003
BLD01000000HAIJ57,2,1163597.7391849484,1732492.756102691,35.57496874506834,129.30544272397466,161.5
BLD01000000HAIJ57,2,1163597.7391849484,1732492.756102691,35.57496874506834,129.30544272397466,170.800003
BLD01000000HAIJ57,3,1163594.5374556745,1732500.940779981,35.575043035276224,129.30540906143597,161.5
BLD01000000HAIJ57,3,1163594.5374556745,1732500.940779981,35.575043035276224,129.30540906143597,170.800003
BLD01000000HAIJ57,3,1163603.1707171123,1732504.5648990609,35.57507426938364,129.30550502788032,161.5
BLD01000000HAIJ57,3,1163603.1707171123,1732504.5648990609,35.57507426938364,129.30550502788032,170.800003
BLD01000000HAIJ57,4,1163611.80397855,1732508.1890181408,35.57510550341225,129.30560099439643,161.5
BLD01000000HAIJ57,4,1163611.80397855,1732508.1890181408,35.57510550341225,129.30560099439643,170.800003
BLD01000000HAIJ57,4,1163615.218988806,1732499.9468889143,35.57503066014201,129.30563699785287,161.5
BLD01000000HAIJ57,4,1163615.218988806,1732499.9468889143,35.57503066014201,129.30563699785287,170.800003
BLD01000000366ZOC,1,1163912.1960362112,1732519.5513612183,35.57515820733013,129.30891691324578,173.800003
BLD01000000366ZOC,1,1163912.1960362112,1732519.5513612183,35.57515820733013,129.30891691324578,179.899994
BLD01000000366ZOC,1,1163906.6549055646,1732511.7316756647,35.57508865323319,129.30885420436903,179.899994
BLD01000000366ZOC,1,1163901.1137749178,1732503.9119901112,35.57501909909965,129.308791495602,179.899994
BLD01000000366ZOC,2,1163895.5726442712,1732496.0923045576,35.5749495449295,129.30872878694464,173.800003
BLD01000000366ZOC,2,1163895.5726442712,1732496.0923045576,35.5749495449295,129.30872878694464,179.899994
BLD01000000366ZOC,2,1163887.4147826564,1732501.9198072404,35.57500341346576,129.3086399789483,173.800003
BLD01000000366ZOC,2,1163887.4147826564,1732501.9198072404,35.57500341346576,129.3086399789483,179.899994
BLD01000000366ZOC,2,1163879.2569210413,1732507.7473099232,35.57505728193959,129.30855117083166,173.800003
BLD01000000366ZOC,2,1163879.2569210413,1732507.7473099232,35.57505728193959,129.30855117083166,179.899994
BLD01000000366ZOC,2,1163871.0990594265,1732513.5748126062,35.57511115035099,129.30846236259472,173.800003
BLD01000000366ZOC,2,1163871.0990594265,1732513.5748126062,35.57511115035099,129.30846236259472,179.899994
