receiver_id,reference,type,big_grid_id,x_epsg5179,y_epsg5179,lat,lon,alt
9759,BLD01000000389BDI,building,0007_0004,1163748.6385324,1732430.9420162,35.5743867,129.3070948,161.6499940
9760,BLD01000000389BDI,building,0007_0004,1163753.9105761,1732439.4473403,35.5744625,129.3071547,178.1900020
9761,BLD01000000389BDI,building,0007_0004,1163753.9105761,1732439.4473403,35.5744625,129.3071547,169.9199980
9762,BLD01000000389BDI,building,0007_0004,1163753.9105761,1732439.4473403,35.5744625,129.3071547,161.6499940
9763,BLD01000000389BDI,roof,0007_0004,1163757.5120466,1732431.5012456,35.5743903,129.3071928,179.1900020
9764,BLD01000000389BDI,building,0007_0004,1163766.3488792,1732431.9670852,35.5743930,129.3072903,178.1900020
9765,BLD01000000389BDI,building,0007_0004,1163766.3488792,1732431.9670852,35.5743930,129.3072903,169.9199980
9766,BLD01000000389BDI,building,0007_0004,1163766.3488792,1732431.9670852,35.5743930,129.3072903,161.6499940
9767,,terrain,0007_0004,1163775.0000000,1732435.0000000,35.5744189,129.3073864,161.8913032
9768,BLD010000003678QO,building,0007_0004,1163785.2107721,1732438.6707764,35.5744503,129.3074998,174.2100070
9769,BLD010000003678QO,building,0007_0004,1163785.2107721,1732438.6707764,35.5744503,129.3074998,162.8399960
9770,BLD010000003678QO,building,0007_0004,1163794.5334695,1732432.6559669,35.5743946,129.3076014,174.2100070
9771,BLD010000003678QO,building,0007_0004,1163794.5334695,1732432.6559669,35.5743946,129.3076014,162.8399960
9772,,terrain,0007_0004,1163795.0000000,1732435.0000000,35.5744156,129.3076070,164.1713880
9773,BLD010000003678PN,building,0007_0004,1163796.7626498,1732438.1240136,35.5744435,129.3076271,174.6900020
9774,BLD010000003678PN,building,0007_0004,1163796.7626498,1732438.1240136,35.5744435,129.3076271,164.8099980
9775,BLD010000003678OM,building,0007_0004,1163798.4134894,1732436.9710607,35.5744328,129.3076451,174.8999940
9776,BLD010000003678OM,building,0007_0004,1163798.4134894,1732436.9710607,35.5744328,129.3076451,165.3899990
9777,BLD010000003678QO,roof,0007_0004,1163795.4861861,1732423.9726259,35.5743162,129.3076101,175.2100070
9778,BLD010000003678QO,building,0007_0004,1163787.2979926,1732420.9826427,35.5742906,129.3075192,174.2100070
9779,BLD010000003678QO,building,0007_0004,1163787.2979926,1732420.9826427,35.5742906,129.3075192,162.8399960
9780,BLD010000003678QO,building,0007_0004,1163777.9727576,1732426.7960258,35.5743445,129.3074175,174.2100070
9781,BLD010000003678QO,building,0007_0004,1163777.9727576,1732426.7960258,35.5743445,129.3074175,162.8399960
9782,,terrain,0007_0004,1163775.0000000,1732425.0000000,35.5743288,129.3073844,161.4665171
9783,,terrain,0007_0004,1163765.0000000,1732425.0000000,35.5743305,129.3072741,161.1529491
9784,BLD01000000389BDI,building,0007_0004,1163761.0721639,1732423.4454627,35.5743171,129.3072304,178.1900020
9785,BLD01000000389BDI,building,0007_0004,1163761.0721639,1732423.4454627,35.5743171,129.3072304,169.9199980
9786,BLD01000000389BDI,building,0007_0004,1163761.0721639,1732423.4454627,35.5743171,129.3072304,161.6499940
9787,BLD01000000389BDI,roof,0007_0004,1163752.2474723,1732422.9992307,35.5743145,129.3071330,179.1900020
9788,BLD01000000389BDI,building,0007_0004,1163743.3664888,1732422.4366922,35.5743109,129.3070349,178.1900020
9789,BLD01000000389BDI,building,0007_0004,1163743.3664888,1732422.4366922,35.5743109,129.3070349,169.9199980
9790,BLD01000000389BDI,building,0007_0004,1163743.3664888,1732422.4366922,35.5743109,129.3070349,161.6499940
9791,,terrain,0007_0004,1163735.0000000,1732425.0000000,35.5743354,129.3069431,160.1813825
9792,,terrain,0007_0004,1163725.0000000,1732425.0000000,35.5743371,129.3068328,158.0202811
9793,BLD01000000389ASW,building,0007_0004,1163718.9081397,1732426.0785066,35.5743478,129.3067658,179.1100010
9794,BLD01000000389ASW,building,0007_0004,1163718.9081397,1732426.0785066,35.5743478,129.3067658,170.3300020
9795,BLD01000000389ASW,building,0007_0004,1163718.9081397,1732426.0785066,35.5743478,129.3067658,161.5500030
9796,BLD01000000389ASW,roof,0007_0004,1163710.1752856,1732425.5946830,35.5743449,129.3066694,180.1100010
9797,BLD01000000389ASW,building,0007_0004,1163701.4774840,1732425.1865076,35.5743427,129.3065734,179.1100010
9798,BLD01000000389ASW,building,0007_0004,1163701.4774840,1732425.1865076,35.5743427,129.3065734,170.3300020
9799,BLD01000000389ASW,building,0007_0004,1163701.4774840,1732425.1865076,35.5743427,129.3065734,161.5500030
9800,BLD01000000389ASW,building,0007_0004,1163713.6282049,1732417.5929760,35.5742722,129.3067059,179.1100010
9801,BLD01000000389ASW,building,0007_0004,1163713.6282049,1732417.5929760,35.5742722,129.3067059,170.3300020
