receiver_id,building_id,edge_no,ground_factor,type,grid_id,grid_order,x_epsg5179,y_epsg5179,lat,lon,alt
49,BLD01000000G9NCWU,3,,building,0000_0009,0,1163032.3069962,1732951.0599884,35.5791923,129.2992978,88.2699970
50,BLD01000000G9NCWU,2,,building,0000_0009,0,1163034.4280081,1732958.7846449,35.5792616,129.2993228,88.9499970
51,BLD01000000G9NCWU,2,,building,0000_0009,0,1163034.4280081,1732958.7846449,35.5792616,129.2993228,88.2699970
52,,,1.0000000,terrain,0000_0009,0,1163035.0000000,1732955.0000000,35.5792274,129.2993283,90.1140101
53,,,1.0000000,terrain,0000_0009,0,1163045.0000000,1732955.0000000,35.5792257,129.2994387,88.1116700
54,,,1.0000000,terrain,0000_0009,0,1163055.0000000,1732955.0000000,35.5792241,129.2995490,87.1086418
55,,,1.0000000,terrain,0000_0009,0,1163065.0000000,1732955.0000000,35.5792224,129.2996593,87.0559198
56,,,1.0000000,terrain,0000_0009,0,1163075.0000000,1732955.0000000,35.5792208,129.2997696,87.4857983
57,,,1.0000000,terrain,0000_0009,0,1163085.0000000,1732955.0000000,35.5792191,129.2998799,88.5413110
58,,,0.8409918,terrain,0000_0009,0,1163095.0000000,1732955.0000000,35.5792175,129.2999902,89.0011214
59,,,0.0898304,terrain,0000_0009,0,1163095.0000000,1732945.0000000,35.5791274,129.2999882,91.2431886
60,,,0.3950743,terrain,0000_0009,0,1163085.0000000,1732945.0000000,35.5791290,129.2998779,90.9790774
61,,,0.9796074,terrain,0000_0009,0,1163075.0000000,1732945.0000000,35.5791307,129.2997676,89.8717621
62,,,1.0000000,terrain,0000_0009,0,1163065.0000000,1732945.0000000,35.5791323,129.2996573,88.9249741
63,,,1.0000000,terrain,0000_0009,0,1163055.0000000,1732945.0000000,35.5791340,129.2995470,88.8246651
64,,,1.0000000,terrain,0000_0009,0,1163045.0000000,1732945.0000000,35.5791356,129.2994366,90.5012954
65,,,1.0000000,terrain,0000_0009,0,1163035.0000000,1732945.0000000,35.5791373,129.2993263,91.8798154
66,,,1.0000000,terrain,0000_0009,0,1163025.0000000,1732945.0000000,35.5791389,129.2992160,91.7999448
67,,,1.0000000,terrain,0000_0009,0,1163015.0000000,1732945.0000000,35.5791406,129.2991057,91.7772730
68,,,1.0000000,terrain,0000_0009,0,1163005.0000000,1732945.0000000,35.5791422,129.2989954,91.7474579
69,,,1.0000000,terrain,0000_0009,0,1163005.0000000,1732935.0000000,35.5790521,129.2989934,91.5981630
70,,,1.0000000,terrain,0000_0009,0,1163015.0000000,1732935.0000000,35.5790504,129.2991037,91.5726761
71,,,1.0000000,terrain,0000_0009,0,1163025.0000000,1732935.0000000,35.5790488,129.2992140,91.6140744
72,,,1.0000000,terrain,0000_0009,0,1163035.0000000,1732935.0000000,35.5790471,129.2993243,91.8251111
73,,,1.0000000,terrain,0000_0009,0,1163045.0000000,1732935.0000000,35.5790455,129.2994346,91.5830959
74,,,1.0000000,terrain,0000_0009,0,1163055.0000000,1732935.0000000,35.5790438,129.2995449,91.6426317
75,,,0.7782344,terrain,0000_0009,0,1163065.0000000,1732935.0000000,35.5790422,129.2996553,91.5948829
76,,,0.1588252,terrain,0000_0009,0,1163075.0000000,1732935.0000000,35.5790406,129.2997656,91.5701320
77,,,0.0000000,terrain,0000_0009,0,1163085.0000000,1732935.0000000,35.5790389,129.2998759,91.5317730
78,,,0.0000000,terrain,0000_0009,0,1163095.0000000,1732935.0000000,35.5790373,129.2999862,91.6438702
79,,,0.0000000,terrain,0000_0009,0,1163095.0000000,1732925.0000000,35.5789471,129.2999842,94.6502943
80,,,0.0000000,terrain,0000_0009,0,1163085.0000000,1732925.0000000,35.5789488,129.2998739,92.6547381
81,,,0.0000000,terrain,0000_0009,0,1163075.0000000,1732925.0000000,35.5789504,129.2997636,92.5100426
